id,TARGET_NAME,TARGET_CLASS,SWISSPROT,ACTION_TYPE
P02752,Riboflavin-binding protein,Unclassified,RBP_CHICK,
P00376,Dihydrofolate reductase,Enzyme,DYR_BOVIN,
Q9N6S8,Cysteine proteinase falcipain 2a,Enzyme,Q9N6S8_PLAFA,
Q92731,Estrogen receptor beta,Nuclear hormone receptor,ESR2_HUMAN,MODULATOR
P09917,Arachidonate 5-lipoxygenase,Enzyme,LOX5_HUMAN,
P16050,Arachidonate 15-lipoxygenase,Enzyme,LOX15_HUMAN,
P18054,"Arachidonate 12-lipoxygenase, 12S-type",Enzyme,LOX12_HUMAN,
O15296,"Arachidonate 15-lipoxygenase, type II",Enzyme,LX15B_HUMAN,
Q96JM7,Lethal(3)malignant brain tumor-like protein 3,Unclassified,LMBL3_HUMAN,
Q05BQ5,MBT domain-containing protein 1,Unclassified,MBTD1_HUMAN,
Q9N623,Chloroquine resistance transporter,Transporter,CRT_PLAFA,
P31645,Sodium-dependent serotonin transporter,Transporter,SC6A4_HUMAN,SUBSTRATE
P21817,Ryanodine receptor 1,Ion channel,RYR1_HUMAN,
O35433,Transient receptor potential cation channel subfamily V member 1,Ion channel,TRPV1_RAT,
P33302,Pleiotropic ABC efflux transporter of multiple drugs,Transporter,PDR5_YEAST,
P35439|Q00959|Q00960|Q00961|Q62645|Q8VHN2|Q9R1M7,Glutamate NMDA receptor,Ion channel,NMDZ1_RAT|NMDE1_RAT|NMDE2_RAT|NMDE3_RAT|NMDE4_RAT|NMD3B_RAT|NMD3A_RAT,
D4A3N4|P21932|P26769|P26770|P40146|Q03343|Q04400|Q8CFM9,Adenylate cyclase,Enzyme,D4A3N4_RAT|ADCY3_RAT|ADCY2_RAT|ADCY4_RAT|ADCY8_RAT|ADCY6_RAT|ADCY5_RAT|Q8CFM9_RAT,
P55789,FAD-linked sulfhydryl oxidase ALR,Enzyme,ALR_HUMAN,
P62157,Calmodulin,Cytosolic other,CALM_BOVIN,
P04925,Major prion protein,Unclassified,PRIO_MOUSE,
P17405,Sphingomyelin phosphodiesterase,Enzyme,ASM_HUMAN,
O35956,Solute carrier family 22 member 6,Transporter,S22A6_RAT,
Q9UM07,Protein-arginine deiminase type-4,Enzyme,PADI4_HUMAN,
O15554,Intermediate conductance calcium-activated potassium channel protein 4,Ion channel,KCNN4_HUMAN,ACTIVATOR
P35228,"Nitric oxide synthase, inducible",Enzyme,NOS2_HUMAN,
P29475,"Nitric oxide synthase, brain",Enzyme,NOS1_HUMAN,
P29474,"Nitric oxide synthase, endothelial",Enzyme,NOS3_HUMAN,
P29476,"Nitric oxide synthase, brain",Enzyme,NOS1_RAT,
P70604,Small conductance calcium-activated potassium channel protein 2,Ion channel,KCNN2_RAT,ACTIVATOR
Q12791,Calcium-activated potassium channel subunit alpha-1,Ion channel,KCMA1_HUMAN,OPENER
P10721,Mast/stem cell growth factor receptor Kit,Kinase,KIT_HUMAN,
O96394,Arginase,Enzyme,O96394_LEIAM,
Q4QEW7,Dihydroorotate dehydrogenase,Enzyme,Q4QEW7_LEIMA,
Q14654,ATP-sensitive inward rectifier potassium channel 11,Ion channel,KCJ11_HUMAN,
P43115,Prostaglandin E2 receptor EP3 subtype,GPCR,PE2R3_HUMAN,
P35408,Prostaglandin E2 receptor EP4 subtype,GPCR,PE2R4_HUMAN,
P43088,Prostaglandin F2-alpha receptor,GPCR,PF2R_HUMAN,
Q62053,Prostaglandin E2 receptor EP2 subtype,GPCR,PE2R2_MOUSE,AGONIST
P30557,Prostaglandin E2 receptor EP3 subtype,GPCR,PE2R3_MOUSE,AGONIST
P09874,Poly [ADP-ribose] polymerase 1,Enzyme,PARP1_HUMAN,INHIBITOR
P09874,Poly [ADP-ribose] polymerase 1,Unclassified,PARP1_HUMAN,INHIBITOR
Q9BU89,Deoxyhypusine hydroxylase,Enzyme,DOHH_HUMAN,
P16444,Dipeptidase 1,Enzyme,DPEP1_HUMAN,INHIBITOR
P22412,Dipeptidase 1,Enzyme,DPEP1_PIG,
Q02294,Voltage-dependent N-type calcium channel subunit alpha-1B,Ion channel,CAC1B_RAT,BLOCKER
P25021,Histamine H2 receptor,GPCR,HRH2_HUMAN,ANTAGONIST
P47747,Histamine H2 receptor,GPCR,HRH2_CAVPO,
Q86VL8,Multidrug and toxin extrusion protein 2,Transporter,S47A2_HUMAN,INHIBITOR
P25102,Histamine H2 receptor,GPCR,HRH2_RAT,ANTAGONIST
P41180,Extracellular calcium-sensing receptor,GPCR,CASR_HUMAN,POSITIVE ALLOSTERIC MODULATOR
P31424,Metabotropic glutamate receptor 5,GPCR,GRM5_RAT,ALLOSTERIC MODULATOR
Q2NNR5,Cysteinyl leukotriene receptor 1,GPCR,CLTR1_CAVPO,
Q9Y271,Cysteinyl leukotriene receptor 1,GPCR,CLTR1_HUMAN,ANTAGONIST
P0AFI2,DNA topoisomerase 4 subunit A,Enzyme,PARC_ECOLI,
Q45066,DNA topoisomerase 4 subunit A,Enzyme,PARC_BACSU,
P0C1U9,DNA topoisomerase 4 subunit A,Enzyme,PARC_STAAU,INHIBITOR
P9WG47,DNA gyrase subunit A,Enzyme,GYRA_MYCTU,
P0AES4,DNA gyrase subunit A,Enzyme,GYRA_ECOLI,INHIBITOR
P37340,Multidrug resistance protein mdtK,Unclassified,MDTK_ECOLI,
P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Enzyme,HMDH_HUMAN,
Q13639,5-hydroxytryptamine receptor 4,GPCR,5HT4R_HUMAN,AGONIST
P32304,5-hydroxytryptamine receptor 7,GPCR,5HT7R_MOUSE,AGONIST
P22909,Alpha-2A adrenergic receptor,GPCR,ADA2A_RAT,
Q62758,5-hydroxytryptamine receptor 4,GPCR,5HT4R_RAT,AGONIST
P35563|Q9JJ16,Serotonin 3 (5-HT3) receptor,Ion channel,5HT3A_RAT|5HT3B_RAT,
A5X5Y0|O95264|P46098|Q70Z44|Q8WXA8,Serotonin 3 (5-HT3) receptor,Ion channel,5HT3E_HUMAN|5HT3B_HUMAN|5HT3A_HUMAN|5HT3D_HUMAN|5HT3C_HUMAN,
P97288,5-hydroxytryptamine receptor 4,GPCR,5HT4R_MOUSE,AGONIST
Q61327,Sodium-dependent dopamine transporter,Transporter,SC6A3_MOUSE,
Q48255,3-dehydroquinate dehydratase,Enzyme,AROQ_HELPY,
P15474,3-dehydroquinate dehydratase,Enzyme,AROQ_STRCO,
Q9EPK8,Transient receptor potential cation channel subfamily V member 4,Ion channel,TRPV4_MOUSE,ACTIVATOR
P27707,Deoxycytidine kinase,Kinase,DCK_HUMAN,
P00807,Beta-lactamase,Enzyme,BLAC_STAAU,
P62593,Beta-lactamase TEM,Enzyme,BLAT_ECOLX,INHIBITOR
Q59401,Beta-lactamase,Enzyme,Q59401_ENTCL,
P0AD63,Beta-lactamase SHV-1,Enzyme,BLA1_ECOLX,
P05364,Beta-lactamase,Enzyme,AMPC_ENTCL,
P13661,Beta-lactamase OXA-1,Enzyme,BLO1_ECOLX,
P24735,Beta-lactamase,Enzyme,AMPC_PSEAE,
A4KCT8,Beta-lactamase,Enzyme,A4KCT8_9ENTR,
A1E3K9,Beta-lactamase,Enzyme,A1E3K9_ECOLX,
A8RR46,Beta-lactamase,Enzyme,A8RR46_BACCS,
Q6JP75,Carbapenem-hydrolizing beta-lactamase SFC-1,Enzyme,Q6JP75_SERFO,
Q9F663,Carbepenem-hydrolyzing beta-lactamase KPC,Enzyme,BLKPC_KLEPN,
Q9EXV5,Beta-lactamase,Enzyme,Q9EXV5_ECOLX,
P0AD64,Beta-lactamase SHV-1,Enzyme,BLA1_KLEPN,
Q6GWS8,Beta-lactamase,Enzyme,Q6GWS8_ECOLX,
D1MIX9,Beta-lactamase GES-13,Enzyme,D1MIX9_PSEAI,
A0ZX81,Beta-lactamase,Enzyme,A0ZX81_KLEPN,
Q4TVR4,Beta-lactamase,Enzyme,Q4TVR4_KLEPN,
Q50H31,Class D beta-lactamase,Unclassified,Q50H31_BRAPL,
Q2XPY6,Beta-lactamase,Enzyme,Q2XPY6_SALET,
P0A3M1,Beta-lactamase SHV-5,Enzyme,BLA5_KLEPN,
D2SSQ3,Beta-lactamase,Enzyme,D2SSQ3_PSEAI,
Q3SAW3,Beta-lactamase,Enzyme,Q3SAW3_PSEAI,
Q670S6,Beta-lactamase,Enzyme,Q670S6_PSELU,
Q62758,5-hydroxytryptamine receptor 4,GPCR,5HT4R_RAT,
P23711,Heme oxygenase 2,Enzyme,HMOX2_RAT,
Q9UBN4,Short transient receptor potential channel 4,Ion channel,TRPC4_HUMAN,BLOCKER
Q9UL62,Short transient receptor potential channel 5,Ion channel,TRPC5_HUMAN,BLOCKER
Q13507,Short transient receptor potential channel 3,Ion channel,TRPC3_HUMAN,BLOCKER
Q9Y210,Short transient receptor potential channel 6,Ion channel,TRPC6_HUMAN,BLOCKER
P15825,50S ribosomal protein L10,Ribosomal protein,RL10_HALMA,
P05141,ADP/ATP translocase 2,Enzyme,ADT2_HUMAN,
P12235,ADP/ATP translocase 1,Transporter,ADT1_HUMAN,
P12236,ADP/ATP translocase 3,Enzyme,ADT3_HUMAN,
Q9BYT1,Solute carrier family 17 member 9,Transporter,S17A9_HUMAN,INHIBITOR
B1LRJ1,Type IV secretion-like conjugative transfer relaxase protein TraI,Unclassified,B1LRJ1_ECOSM,
P09884,DNA polymerase alpha catalytic subunit,Enzyme,DPOLA_HUMAN,INHIBITOR
P23921,Ribonucleoside-diphosphate reductase large subunit,Enzyme,RIR1_HUMAN,INHIBITOR
P31350,Ribonucleoside-diphosphate reductase subunit M2,Enzyme,RIR2_HUMAN,INHIBITOR
P60891,Ribose-phosphate pyrophosphokinase 1,Kinase,PRPS1_HUMAN,
Q9HA47,Uridine-cytidine kinase 1,Kinase,UCK1_HUMAN,
Q9BZX2,Uridine-cytidine kinase 2,Kinase,UCK2_HUMAN,
Q5L2G3,Uncharacterized oxidoreductase CzcO-like,Enzyme,CZCO_GEOKA,
Q07869,Peroxisome proliferator-activated receptor alpha,Nuclear hormone receptor,PPARA_HUMAN,
P23204,Peroxisome proliferator-activated receptor alpha,Transcription factor,PPARA_MOUSE,
O09114,Prostaglandin-H2 D-isomerase,Enzyme,PTGDS_MOUSE,
P03372,Estrogen receptor,Nuclear hormone receptor,ESR1_HUMAN,MODULATOR
P09211,Glutathione S-transferase P,Enzyme,GSTP1_HUMAN,
P39051,Trypanothione reductase,Enzyme,TYTR_TRYBB,
O00591|O14764|P14867|P18505|P18507|P28472|P31644|P34903|P47869|P47870|P48169|P78334|Q16445|Q8N1C3|Q99928|Q9UN88,GABA-A receptor; anion channel,Ion channel,GBRP_HUMAN|GBRD_HUMAN|GBRA1_HUMAN|GBRB1_HUMAN|GBRG2_HUMAN|GBRB3_HUMAN|GBRA5_HUMAN|GBRA3_HUMAN|GBRA2_HUMAN|GBRB2_HUMAN|GBRA4_HUMAN|GBRE_HUMAN|GBRA6_HUMAN|GBRG1_HUMAN|GBRG3_HUMAN|GBRT_HUMAN,
P23944,Alpha-1D adrenergic receptor,GPCR,ADA1D_RAT,AGONIST
Q4G017,Nischarin,Unclassified,NISCH_RAT,
O88704,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,Ion channel,HCN1_MOUSE,BLOCKER
O88703,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,Ion channel,HCN2_MOUSE,BLOCKER
O70507,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,Ion channel,HCN4_MOUSE,BLOCKER
Q9H244,P2Y purinoceptor 12,GPCR,P2Y12_HUMAN,ANTAGONIST
P20813,Cytochrome P450 2B6,Enzyme,CP2B6_HUMAN,
Q14994,Nuclear receptor subfamily 1 group I member 3,Nuclear hormone receptor,NR1I3_HUMAN,ANTAGONIST
P30542,Adenosine receptor A1,GPCR,AA1R_HUMAN,
O15554,Intermediate conductance calcium-activated potassium channel protein 4,Ion channel,KCNN4_HUMAN,
Q9Y271,Cysteinyl leukotriene receptor 1,GPCR,CLTR1_HUMAN,
P22001,Potassium voltage-gated channel subfamily A member 3,Ion channel,KCNA3_HUMAN,
Q96RI1,Bile acid receptor,Nuclear hormone receptor,NR1H4_HUMAN,
P9WPP9,Lanosterol 14-alpha demethylase,Enzyme,CP51_MYCTU,
P25024,C-X-C chemokine receptor type 1,GPCR,CXCR1_HUMAN,
Q4WNT5,14-alpha sterol demethylase Cyp51A,Enzyme,Q4WNT5_ASPFU,
Q96W81,14-alpha sterol demethylase,Enzyme,Q96W81_ASPFM,
Q8R0V5,"Indoleamine 2,3-dioxygenase 2",Enzyme,I23O2_MOUSE,
P9WPP7,Mycocyclosin synthase,Enzyme,CP121_MYCTU,
P55072,Transitional endoplasmic reticulum ATPase,Enzyme,TERA_HUMAN,
P40925,Malate dehydrogenase cytoplasmic ,Enzyme,MDHC_HUMAN,
P9WPN5,Putative cytochrome P450 130,Enzyme,CP130_MYCTU,
P28776,"Indoleamine 2,3-dioxygenase 1",Enzyme,I23O1_MOUSE,
Q9UNU6,7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase,Enzyme,CP8B1_HUMAN,
P62593,Beta-lactamase TEM,Enzyme,BLAT_ECOLX,
P62594,Beta-lactamase TEM,Enzyme,BLAT_SALTI,
P72355|Q53707|Q53725|Q53729|Q9XDB3,Penicillin-binding protein,Enzyme,P72355_STAAU|Q53707_STAAU|Q53725_STAAU|Q53729_STAAU|Q9XDB3_STAAU,INHIBITOR
P22310,UDP-glucuronosyltransferase 1-4,Enzyme,UD14_HUMAN,
P28566,5-hydroxytryptamine receptor 1E,GPCR,5HT1E_HUMAN,AGONIST
P61168,D(2) dopamine receptor,GPCR,DRD2_MOUSE,
Q64264,5-hydroxytryptamine receptor 1A,GPCR,5HT1A_MOUSE,
P52702,D(2) dopamine receptor,GPCR,DRD2_CHLAE,
Q9QYN8,Histamine H3 receptor,GPCR,HRH3_RAT,ANTAGONIST
P23979,5-hydroxytryptamine receptor 3A,Ion channel,5HT3A_MOUSE,
P50130,D(1A) dopamine receptor,GPCR,DRD1_PIG,
P52703,D(3) dopamine receptor,GPCR,DRD3_CHLAE,
Q91ZY2,Histamine H4 receptor,GPCR,HRH4_MOUSE,ANTAGONIST
Q91ZY1,Histamine H4 receptor,GPCR,HRH4_RAT,ANTAGONIST
P34968|P35363|Q02152,Serotonin 2 (5-HT2) receptor,GPCR,5HT2C_MOUSE|5HT2A_MOUSE|5HT2B_MOUSE,
P30966,5-hydroxytryptamine receptor 5A,GPCR,5HT5A_MOUSE,ANTAGONIST
P0DP23,Calmodulin-1,Cytosolic other,CALM1_HUMAN,
Q9UI33,Sodium channel protein type 11 subunit alpha,Ion channel,SCNBA_HUMAN,
O95264|P46098,Serotonin 3 receptor (5HT3),Ion channel,5HT3B_HUMAN|5HT3A_HUMAN,ANTAGONIST
P27922,Dopamine transporter,Transporter,SC6A3_BOVIN,
Q9GJT6,Dopamine transporter,Transporter,SC6A3_MACFA,
P41145,Kappa-type opioid receptor,GPCR,OPRK_HUMAN,AGONIST
P41143,Delta-type opioid receptor,GPCR,OPRD_HUMAN,AGONIST
P23416,Glycine receptor subunit alpha-2,Ion channel,GLRA2_HUMAN,
P07437,Tubulin beta chain,Structural,TBB5_HUMAN,INHIBITOR
P11309,Serine/threonine-protein kinase pim-1,Kinase,PIM1_HUMAN,
P02550,Tubulin alpha-1A chain,Structural,TBA1A_PIG,
Q6B856,Tubulin beta-2B chain,Structural,TBB2B_BOVIN,
O60885,Bromodomain-containing protein 4,Unclassified,BRD4_HUMAN,INHIBITOR
Q27957,Tubulin polymerization-promoting protein,Unclassified,TPPP_BOVIN,
Q6B856|Q862F3|Q862L2,Tubulin,Structural,TBB2B_BOVIN|Q862F3_BOVIN|Q862L2_BOVIN,
P02550|P02554,Tubulin,Structural,TBA1A_PIG|TBB_PIG,
Q08828,Adenylate cyclase type 1,Enzyme,ADCY1_HUMAN,
P11166,"Solute carrier family 2, facilitated glucose transporter member 1",Transporter,GTR1_HUMAN,
P19754,Adenylate cyclase type 1,Enzyme,ADCY1_BOVIN,
P37288,Vasopressin V1a receptor,GPCR,V1AR_HUMAN,ANTAGONIST
P30518,Vasopressin V2 receptor,GPCR,V2R_HUMAN,ANTAGONIST
P70536,Oxytocin receptor,GPCR,OXYR_RAT,
Q00788,Vasopressin V2 receptor,GPCR,V2R_RAT,
P30560,Vasopressin V1a receptor,GPCR,V1AR_RAT,
Q09470,Potassium voltage-gated channel subfamily A member 1,Ion channel,KCNA1_HUMAN,
P49354|P49356,Protein farnesyltransferase,Enzyme,FNTA_HUMAN|FNTB_HUMAN,
P19643,Amine oxidase [flavin-containing] B,Enzyme,AOFB_RAT,
Q33BM1,G protein-coupled receptor GPR35,GPCR,Q33BM1_RAT,
Q9ES90,G-protein coupled receptor 35,GPCR,GPR35_MOUSE,
P25815,Protein S100-P,Cytosolic other,S100P_HUMAN,
P08908,5-hydroxytryptamine receptor 1A,GPCR,5HT1A_HUMAN,ANTAGONIST
P34969,5-hydroxytryptamine receptor 7,GPCR,5HT7R_HUMAN,ANTAGONIST
P27338,Amine oxidase [flavin-containing] B,Enzyme,AOFB_HUMAN,
P03372,Estrogen receptor,Nuclear other,ESR1_HUMAN,
P00374,Dihydrofolate reductase,Enzyme,DYR_HUMAN,
P13922,Bifunctional dihydrofolate reductase-thymidylate synthase,Enzyme,DRTS_PLAFK,INHIBITOR
Q12879,"Glutamate receptor ionotropic, NMDA 2A",Ion channel,NMDE1_HUMAN,
Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A",Ion channel,NMD3A_HUMAN,
Q13224,"Glutamate receptor ionotropic, NMDA 2B",Ion channel,NMDE2_HUMAN,
Q14957,"Glutamate receptor ionotropic, NMDA 2C",Ion channel,NMDE3_HUMAN,
O15399,"Glutamate receptor ionotropic, NMDA 2D",Ion channel,NMDE4_HUMAN,
P9WQA8,Alanine racemase,Enzyme,ALR_MYCTO,
Q05586,"Glutamate receptor ionotropic, NMDA 1",Ion channel,NMDZ1_HUMAN,
O60391,"Glutamate receptor ionotropic, NMDA 3B",Ion channel,NMD3B_HUMAN,
P9WP31,D-alanine--D-alanine ligase,Enzyme,DDL_MYCTU,INHIBITOR
P9WQA9,Alanine racemase,Enzyme,ALR_MYCTU,INHIBITOR
P35439,"Glutamate receptor ionotropic, NMDA 1",Ion channel,NMDZ1_RAT,
Q00961,"Glutamate receptor ionotropic, NMDA 2C",Ion channel,NMDE3_RAT,
P62942,Peptidyl-prolyl cis-trans isomerase FKBP1A,Enzyme,FKB1A_HUMAN,
P62937,Peptidyl-prolyl cis-trans isomerase A,Enzyme,PPIA_HUMAN,MODULATOR
P21462,fMet-Leu-Phe receptor,GPCR,FPR1_HUMAN,ANTAGONIST
Q9Y6L6,Solute carrier organic anion transporter family member 1B1,Transporter,SO1B1_HUMAN,INHIBITOR
Q02790,Peptidyl-prolyl cis-trans isomerase FKBP4,Enzyme,FKBP4_HUMAN,
P23284,Peptidyl-prolyl cis-trans isomerase B,Enzyme,PPIB_HUMAN,
Q08209,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,Enzyme,PP2BA_HUMAN,
P68106,Peptidyl-prolyl cis-trans isomerase FKBP1B,Enzyme,FKB1B_HUMAN,
Q08752,Peptidyl-prolyl cis-trans isomerase D,Enzyme,PPID_HUMAN,
Q9NPD5,Solute carrier organic anion transporter family member 1B3,Transporter,SO1B3_HUMAN,INHIBITOR
Q14973,Sodium/bile acid cotransporter,Transporter,NTCP_HUMAN,INHIBITOR
Q9JHG7,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Kinase,PK3CG_MOUSE,
P42261,Glutamate receptor 1,Ion channel,GRIA1_HUMAN,
P42262,Glutamate receptor 2,Ion channel,GRIA2_HUMAN,
P48058,Glutamate receptor 4,Ion channel,GRIA4_HUMAN,ALLOSTERIC MODULATOR
P42263,Glutamate receptor 3,Ion channel,GRIA3_HUMAN,ALLOSTERIC MODULATOR
P19490|P19491|P19492|P19493,"Glutamate receptor ionotropic, AMPA",Ion channel,GRIA1_RAT|GRIA2_RAT|GRIA3_RAT|GRIA4_RAT,
P19838,Nuclear factor NF-kappa-B p105 subunit,Cytosolic other,NFKB1_HUMAN,
Q7ZJM1,Integrase,Enzyme,Q7ZJM1_9HIV1,
P05412,Transcription factor AP-1,Transcription factor,JUN_HUMAN,
P34968,5-hydroxytryptamine receptor 2C,GPCR,5HT2C_MOUSE,
Q8WTS6,Histone-lysine N-methyltransferase SETD7,Enzyme,SETD7_HUMAN,
Q9UPY5,Cystine/glutamate transporter,Transporter,XCT_HUMAN,
P15309,Prostatic acid phosphatase,Enzyme,PPAP_HUMAN,
P06746,DNA polymerase beta,Enzyme,DPOLB_HUMAN,
P09884|P28340|Q07864,DNA polymerase (alpha/delta/epsilon),Enzyme,DPOLA_HUMAN|DPOD1_HUMAN|DPOE1_HUMAN,INHIBITOR
Q14181,DNA polymerase alpha subunit B,Enzyme,DPOA2_HUMAN,
P62993,Growth factor receptor-bound protein 2,Cytosolic other,GRB2_HUMAN,
Q16832,Discoidin domain-containing receptor 2,Kinase,DDR2_HUMAN,
Q60631,Growth factor receptor-bound protein 2,Cytosolic other,GRB2_MOUSE,
Q96IV0,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,Enzyme,NGLY1_HUMAN,
P00747,Plasminogen,Enzyme,PLMN_HUMAN,
P04070,Vitamin K-dependent protein C,Enzyme,PROC_HUMAN,
P07477|P07478|P35030,Trypsin,Enzyme,TRY1_HUMAN|TRY2_HUMAN|TRY3_HUMAN,
Q28731,Thrombin,Unclassified,Q28731_RABIT,
P10275,Androgen receptor,Nuclear hormone receptor,ANDR_HUMAN,AGONIST
P08842,Steryl-sulfatase,Enzyme,STS_HUMAN,
P21817,Ryanodine receptor 1,Ion channel,RYR1_HUMAN,ANTAGONIST
Q15413,Ryanodine receptor 3,Ion channel,RYR3_HUMAN,ANTAGONIST
Q9NZ45,CDGSH iron-sulfur domain-containing protein 1,Unclassified,CISD1_HUMAN,
P0C0X1,Dihydropteroate synthase 1,Enzyme,DHPS1_MYCLE,INHIBITOR
P11413,Glucose-6-phosphate 1-dehydrogenase,Enzyme,G6PD_HUMAN,
Q57P83,Outer membrane porin protein OmpD,Transporter,OMPD_SALCH,
P52333,Tyrosine-protein kinase JAK3,Kinase,JAK3_HUMAN,
P09619,Platelet-derived growth factor receptor beta,Kinase,PGFRB_HUMAN,INHIBITOR
P00519,Tyrosine-protein kinase ABL1,Kinase,ABL1_HUMAN,INHIBITOR
P10721,Mast/stem cell growth factor receptor Kit,Kinase,KIT_HUMAN,INHIBITOR
P42345,Serine/threonine-protein kinase mTOR,Kinase,MTOR_HUMAN,
P11274,Breakpoint cluster region protein,Kinase,BCR_HUMAN,
P12931,Proto-oncogene tyrosine-protein kinase Src,Kinase,SRC_HUMAN,INHIBITOR
P06239,Tyrosine-protein kinase Lck,Kinase,LCK_HUMAN,INHIBITOR
P07947,Tyrosine-protein kinase Yes,Kinase,YES_HUMAN,INHIBITOR
P06241,Tyrosine-protein kinase Fyn,Kinase,FYN_HUMAN,INHIBITOR
P29317,Ephrin type-A receptor 2,Kinase,EPHA2_HUMAN,INHIBITOR
P04049,RAF proto-oncogene serine/threonine-protein kinase,Kinase,RAF1_HUMAN,
P15056,Serine/threonine-protein kinase B-raf,Kinase,BRAF_HUMAN,
P36888,Receptor-type tyrosine-protein kinase FLT3,Kinase,FLT3_HUMAN,
P17948,Vascular endothelial growth factor receptor 1,Kinase,VGFR1_HUMAN,
P35968,Vascular endothelial growth factor receptor 2,Kinase,VGFR2_HUMAN,
P07333,Macrophage colony-stimulating factor 1 receptor,Kinase,CSF1R_HUMAN,
P16234,Platelet-derived growth factor receptor alpha,Kinase,PGFRA_HUMAN,
P22607,Fibroblast growth factor receptor 3,Kinase,FGFR3_HUMAN,
P08631,Tyrosine-protein kinase HCK,Kinase,HCK_HUMAN,INHIBITOR
Q15303,Receptor tyrosine-protein kinase erbB-4,Kinase,ERBB4_HUMAN,
P43405,Tyrosine-protein kinase SYK,Kinase,KSYK_HUMAN,
Q9H1R3,"Myosin light chain kinase 2, skeletal/cardiac muscle",Kinase,MYLK2_HUMAN,
P41240,Tyrosine-protein kinase CSK,Kinase,CSK_HUMAN,
P29322,Ephrin type-A receptor 8,Kinase,EPHA8_HUMAN,
P07948,Tyrosine-protein kinase Lyn,Kinase,LYN_HUMAN,INHIBITOR
P51813,Cytoplasmic tyrosine-protein kinase BMX,Kinase,BMX_HUMAN,
P51955,Serine/threonine-protein kinase Nek2,Kinase,NEK2_HUMAN,
P53667,LIM domain kinase 1,Kinase,LIMK1_HUMAN,
P11362,Fibroblast growth factor receptor 1,Kinase,FGFR1_HUMAN,
O94804,Serine/threonine-protein kinase 10,Kinase,STK10_HUMAN,
P42684,Abelson tyrosine-protein kinase 2,Kinase,ABL2_HUMAN,
Q15759,Mitogen-activated protein kinase 11,Kinase,MK11_HUMAN,
P54756,Ephrin type-A receptor 5,Kinase,EPHA5_HUMAN,
P54764,Ephrin type-A receptor 4,Kinase,EPHA4_HUMAN,
P21802,Fibroblast growth factor receptor 2,Kinase,FGFR2_HUMAN,
Q9UF33,Ephrin type-A receptor 6,Kinase,EPHA6_HUMAN,
Q9UKE5,TRAF2 and NCK-interacting protein kinase,Kinase,TNIK_HUMAN,
P49674,Casein kinase I isoform epsilon,Kinase,KC1E_HUMAN,
P09769,Tyrosine-protein kinase Fgr,Kinase,FGR_HUMAN,INHIBITOR
O14965,Aurora kinase A,Kinase,AURKA_HUMAN,
Q9NRP7,Serine/threonine-protein kinase 36,Kinase,STK36_HUMAN,
P29320,Ephrin type-A receptor 3,Kinase,EPHA3_HUMAN,
P42685,Tyrosine-protein kinase FRK,Kinase,FRK_HUMAN,INHIBITOR
Q9Y4K4,Mitogen-activated protein kinase kinase kinase kinase 5,Kinase,M4K5_HUMAN,
Q9Y6R4,Mitogen-activated protein kinase kinase kinase 4,Kinase,M3K4_HUMAN,
O14976,Cyclin-G-associated kinase,Kinase,GAK_HUMAN,
O43353,Receptor-interacting serine/threonine-protein kinase 2,Kinase,RIPK2_HUMAN,
P54762,Ephrin type-B receptor 1,Kinase,EPHB1_HUMAN,
Q13043,Serine/threonine-protein kinase 4,Kinase,STK4_HUMAN,
Q07912,Activated CDC42 kinase 1,Kinase,ACK1_HUMAN,
Q9H2G2,STE20-like serine/threonine-protein kinase,Kinase,SLK_HUMAN,
Q08345,Epithelial discoidin domain-containing receptor 1,Kinase,DDR1_HUMAN,
P54760,Ephrin type-B receptor 4,Kinase,EPHB4_HUMAN,
P36896,Activin receptor type-1B,Kinase,ACV1B_HUMAN,
P37023,Serine/threonine-protein kinase receptor R3,Kinase,ACVL1_HUMAN,
Q04771,Activin receptor type-1,Kinase,ACVR1_HUMAN,
P37173,TGF-beta receptor type-2,Kinase,TGFR2_HUMAN,
Q02750,Dual specificity mitogen-activated protein kinase kinase 1,Kinase,MP2K1_HUMAN,
P36507,Dual specificity mitogen-activated protein kinase kinase 2,Kinase,MP2K2_HUMAN,
Q08881,Tyrosine-protein kinase ITK/TSK,Kinase,ITK_HUMAN,
Q13882,Protein-tyrosine kinase 6,Kinase,PTK6_HUMAN,
P06240,Proto-oncogene tyrosine-protein kinase LCK,Kinase,LCK_MOUSE,
Q06187,Tyrosine-protein kinase BTK,Kinase,BTK_HUMAN,
P42680,Tyrosine-protein kinase Tec,Kinase,TEC_HUMAN,
P29323,Ephrin type-B receptor 2,Kinase,EPHB2_HUMAN,
P29597,Non-receptor tyrosine-protein kinase TYK2,Kinase,TYK2_HUMAN,
